,Area_of_Origin,Business_Impact,Civilian_Casualties,Count_of_Persons_Rescued,Estimated_Dollar_Loss,Estimated_Number_Of_Persons_Displaced,Ext_agent_app_or_defer_time,Extent_Of_Fire,Fire_Alarm_System_Impact_on_Evacuation,Fire_Alarm_System_Operation,Fire_Under_Control_Time,Ignition_Source,Incident_Station_Area,Incident_Ward,Last_TFS_Unit_Clear_Time,lat,long,Material_First_Ignited,Method_Of_Fire_Control,Possible_Cause,Property_Use,Smoke_Alarm_at_Fire_Origin_Alarm_Failure,Smoke_Alarm_at_Fire_Origin_Alarm_Type,Status_of_Fire_On_Arrival,TFS_Alarm_Time,TFS_Arrival_Time,Fire_Alarm_System_Presence_(Refactored)
210,"Living Area (e.g. living, TV, recreation, etc)",No business interruption,1,1,2000,0,2016-02-06T13:34:55,Confined to part of room/area of origin,Undetermined,Fire alarm system operated,2016-02-06T13:34:55,Undetermined,426,14.0,2016-02-06T16:58:19,43.63718,-79.43604,Undetermined (formerly 98),Fire self extinguished,Undetermined,Multi-Unit Dwelling - Over 12 Units,Unit failure,Battery operated,Unclassified,2016-02-06T12:48:42,2016-02-06T12:52:47,Present
211,"Living Area (e.g. living, TV, recreation, etc)",No business interruption,1,1,50000,0,2015-08-28T06:10:00,"Spread beyond room of origin, same floor",Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2015-08-28T06:15:00,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",224,31.0,2015-08-28T12:03:18,43.69513,-79.30348,"Upholstered Sofa, Chair, etc.",Extinguished by fire department,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,Reason for inoperation undetermined,Type undetermined,Fire with no evidence from street,2015-08-28T05:51:50,2015-08-28T05:57:24,Present
212,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",No business interruption,1,1,150000,1,2014-06-16T00:39:56,Spread to entire room of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2014-06-16T01:14:28,Undetermined,325,27.0,2014-06-16T02:46:59,43.65817,-79.37239,Multiple Objects or Materials,Extinguished by fire department,Undetermined,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2014-06-16T00:32:04,2014-06-16T00:37:13,Present
213,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Not applicable (not a business),1,1,20000,1,2015-02-28T06:25:06,Spread to entire room of origin,Undetermined,Fire alarm system operated,2015-02-28T06:30:15,Candle,244,40.0,2015-02-28T08:18:55,43.77798,-79.31121,Linen Other than Bedding,Extinguished by fire department,Other misuse of ignition source/material ignited,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2015-02-28T06:11:58,2015-02-28T06:16:23,Present
214,Cooking Area or Kitchen,No business interruption,1,1,60000,1,2017-03-10T16:07:30,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2017-03-10T16:10:41,"Stove, Range-top burner",125,26.0,2017-03-10T22:36:30,43.71658,-79.33038,"Cooking Oil, Grease",Extinguished by fire department,"Unintentional, cause undetermined",Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,Fire with no evidence from street,2017-03-10T15:52:26,2017-03-10T15:58:09,Present
215,Cooking Area or Kitchen,Not applicable (not a business),0,1,3000,0,2014-04-11T16:17:00,Confined to part of room/area of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2014-04-11T16:17:00,"Other Cooking Items (eg Toaster, Kettle, elec frying pan)",114,23.0,2014-04-11T16:55:20,43.77581,-79.42201,Interior Wall/Ceiling,Extinguished by fire department,Unattended,Semi-Detached Dwelling,No battery,Battery operated,"Fire with smoke showing only - including vehicle, outdoor fires",2014-04-11T16:12:16,2014-04-11T16:16:46,No System
216,Cooking Area or Kitchen,Not applicable (not a business),1,1,100000,1,2012-06-20T09:29:08,Spread to entire room of origin,Undetermined,Not applicable (no system),2012-06-20T09:30:04,"Other Cooking Items (eg Toaster, Kettle, elec frying pan)",112,23.0,2012-06-20T21:44:50,43.77271,-79.43947,Wood,Extinguished by fire department,"Unintentional, cause undetermined",Detached Dwelling,Unit failure,Battery operated,"Fire with smoke showing only - including vehicle, outdoor fires",2012-06-20T09:22:32,2012-06-20T09:26:40,No System
217,Cooking Area or Kitchen,May resume operations within a year,0,1,450000,8,2016-04-04T09:46:30,"Spread to other floors, confined to building",Not applicable: Occupant(s) first alerted by other means,Fire alarm system operated,2016-04-04T10:40:02,Oven,342,17.0,2016-04-04T17:21:14,43.67656,-79.44943,"Cooking Oil, Grease",Extinguished by fire department,"Routine maintenance deficiency, eg creosote, lint, grease buildup","Apartment, Flat, Tenement with Business",Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,"Fire with smoke showing only - including vehicle, outdoor fires",2016-04-04T09:39:01,2016-04-04T09:43:06,Present
218,Undetermined  (formerly 98),Undetermined,0,1,750000,997,2014-07-31T03:15:00,Spread beyond building of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2014-07-31T04:29:53,Undetermined,326,32.0,2014-08-01T15:52:21,43.66292,-79.32356,Undetermined (formerly 98),Extinguished by fire department,Undetermined,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,"Flames showing from large area (more than one storey, large area outdoors)",2014-07-31T02:58:50,2014-07-31T03:03:26,No System
219,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Not applicable (not a business),2,1,200000,1,2017-02-20T09:06:28,Spread to entire room of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2017-02-20T09:29:09,Undetermined,325,28.0,2017-02-20T19:11:30,43.65829,-79.37103,Bedding,Extinguished by fire department,"Unintentional, cause undetermined",Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,"Fire with smoke showing only - including vehicle, outdoor fires",2017-02-20T08:53:57,2017-02-20T08:56:54,Present
220,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",No business interruption,0,1,1000,0,2013-06-10T22:20:00,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2013-06-10T22:18:00,Matches (open flame),434,6.0,2013-06-10T22:54:51,43.58957,-79.54583,Linen Other than Bedding,Extinguished by fire department,Other misuse of ignition source/material ignited,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,"Fire with smoke showing only - including vehicle, outdoor fires",2013-06-10T22:08:18,2013-06-10T22:13:14,Present
221,"Living Area (e.g. living, TV, recreation, etc)",Not applicable (not a business),2,1,2000000,2,2013-05-16T01:45:00,"Spread to other floors, confined to building",Undetermined,Fire alarm system did not operate,2013-05-16T03:03:57,Undetermined,122,25.0,2013-05-16T17:44:44,43.74888,-79.38979,Other Building Component,Extinguished by fire department,Undetermined,Detached Dwelling,Other reason,Type undetermined,"Flames showing from large area (more than one storey, large area outdoors)",2013-05-16T01:34:41,2013-05-16T01:40:06,Undetermined
222,"Living Area (e.g. living, TV, recreation, etc)",Not applicable (not a business),1,1,25000,5,2017-11-26T14:42:58,Confined to part of room/area of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2017-11-26T15:18:33,Undetermined,426,14.0,2017-11-26T23:45:17,43.63821,-79.43092,Undetermined (formerly 98),Extinguished by fire department,"Unintentional, cause undetermined",Multi-Unit Dwelling - 2 to 6 Units,Other reason,Type undetermined,Fire with no evidence from street,2017-11-26T14:35:33,2017-11-26T14:39:35,No System
223,"Lobby, Entranceway",Not applicable (not a business),0,1,100000,5,2017-11-29T01:12:32,Entire Structure,Undetermined,Fire alarm system operation undetermined,2017-11-29T01:19:26,"Exposure, source open fire (inc campfire, rubbish fire)",423,11.0,2017-11-29T13:44:57,43.67592,-79.47039,"Mattress, Pillow",Extinguished by fire department,Undetermined,Detached Dwelling,Unit failure,Type undetermined,"Flames showing from large area (more than one storey, large area outdoors)",2017-11-29T01:04:47,2017-11-29T01:09:25,Undetermined
224,"Living Area (e.g. living, TV, recreation, etc)",Not applicable (not a business),1,1,50000,1,2011-01-24T06:44:29,Spread to entire room of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2011-01-24T06:58:28,Undetermined,135,21.0,2011-01-24T15:02:43,43.70289,-79.42241,Undetermined (formerly 98),Extinguished by fire department,Undetermined,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,Fire with no evidence from street,2011-01-24T06:34:30,2011-01-24T06:40:17,Present
225,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",No business interruption,1,1,400000,4,2011-02-12T16:24:31,"Spread to other floors, confined to building",Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2011-02-12T17:15:52,Undetermined,243,38.0,2011-02-12T22:17:16,43.77253,-79.24985,Undetermined (formerly 98),Extinguished by fire department,Undetermined,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2011-02-12T16:13:28,2011-02-12T16:18:49,Present
226,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",May resume operations within a week,2,1,200000,997,2011-02-15T13:40:00,"Spread beyond room of origin, same floor","Not applicable: No fire alarm system, no persons present",Not applicable (no system),2011-02-15T13:56:00,Undetermined,442,11.0,2011-02-15T17:37:53,43.71143,-79.51732,Undetermined (formerly 98),Extinguished by fire department,"Unintentional, cause undetermined",Attached Dwelling with Business,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,"Fire with smoke showing only - including vehicle, outdoor fires",2011-02-15T13:25:40,2011-02-15T13:31:18,No System
227,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Not applicable (not a business),0,1,45000,1,2011-04-03T23:47:00,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2011-04-03T23:53:25,Undetermined,227,32.0,2011-04-04T01:41:54,43.67289,-79.31467,Undetermined (formerly 98),Extinguished by fire department,Undetermined,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,Fire with no evidence from street,2011-04-03T23:34:06,2011-04-03T23:40:48,Present
228,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Undetermined,0,1,5000,0,2015-02-28T14:17:50,Confined to object of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2015-02-28T14:17:48,Undetermined,234,36.0,2015-02-28T15:15:22,43.75139,-79.20441,Linen Other than Bedding,Extinguished by occupant,Undetermined,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,Fire extinguished prior to arrival,2015-02-28T14:07:41,2015-02-28T14:13:43,Present
229,"Living Area (e.g. living, TV, recreation, etc)",Not applicable (not a business),1,1,150000,4,2011-05-27T10:56:00,"Spread to other floors, confined to building",Fire Alarm system operated but failed to alert occupant(s),Fire alarm system operation undetermined,2011-05-27T11:30:00,Undetermined,426,14.0,2011-05-28T08:57:02,43.64665,-79.45699,Undetermined (formerly 98),Extinguished by fire department,Undetermined,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,"Fire with smoke showing only - including vehicle, outdoor fires",2011-05-27T10:49:10,2011-05-27T10:53:17,Present
230,Porch or Balcony,Undetermined,0,1,300000,25,2011-06-30T02:09:33,Confined to roof/exterior structure,Undetermined,Fire alarm system operated,2011-06-30T03:08:37,Undetermined,332,20.0,2011-06-30T04:37:38,43.64854,-79.39741,Undetermined (formerly 98),Extinguished by fire department,Other misuse of ignition source/material ignited,"Apartment, Flat, Tenement with Business",Remote from fire – smoke did not reach alarm,Hardwired (standalone),"Flames showing from large area (more than one storey, large area outdoors)",2011-06-30T02:02:01,2011-06-30T02:07:33,Present
231,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",No business interruption,1,1,6000,1,2011-07-28T08:30:00,Confined to part of room/area of origin,Undetermined,Fire alarm system operated,2011-07-28T08:47:43,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",332,20.0,2011-07-28T09:20:31,43.64925,-79.38688,Bedding,Extinguished by fire department,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),"Fire with smoke showing only - including vehicle, outdoor fires",2011-07-28T08:21:52,2011-07-28T08:24:53,Present
232,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",No business interruption,1,1,50000,0,2011-08-28T04:29:07,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2011-08-28T04:32:39,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",421,12.0,2011-08-28T06:52:03,43.68214,-79.4716,"Books, Magazines, Newspapers",Extinguished by fire department,Improper handling of ignition source or ignited material,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,Fire with no evidence from street,2011-08-28T04:14:24,2011-08-28T04:19:06,Present
233,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Not applicable (not a business),1,1,60000,1,2011-09-05T03:51:00,Spread to entire room of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2011-09-05T03:57:41,Undetermined,345,18.0,2011-09-05T05:46:03,43.66673,-79.44646,Undetermined (formerly 98),Extinguished by fire department,"Unintentional, cause undetermined",Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2011-09-05T03:32:30,2011-09-05T03:38:33,Present
234,Attic Area,Not applicable (not a business),0,1,100000,4,2011-09-05T20:09:02,"Spread beyond room of origin, same floor",Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),2011-09-05T20:06:32,Other Electrical,222,37.0,2011-09-06T23:05:57,43.73331,-79.27545,Undetermined (formerly 98),Extinguished by fire department,Electrical Failure,Detached Dwelling,Improper installation of unit,Not applicable - no smoke alarm or presence undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2011-09-05T19:33:20,2011-09-05T19:38:28,Not applicable
235,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Undetermined,1,1,475000,7,2016-11-30T15:50:45,Spread to entire room of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2016-11-30T16:09:41,Undetermined,114,23.0,2016-11-30T21:46:57,43.76103,-79.42101,Undetermined (formerly 98),Extinguished by fire department,Undetermined,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2016-11-30T15:43:15,2016-11-30T15:48:35,No System
236,Cooking Area or Kitchen,Not applicable (not a business),1,1,2000,1,2015-03-24T13:15:20,Confined to part of room/area of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2015-03-24T13:18:10,"Stove, Range-top burner",132,16.0,2015-03-24T14:41:14,43.73522,-79.43116,Multiple Objects or Materials,Extinguished by fire department,"Other unintentional cause, not classified",Detached Dwelling,Dead battery,Battery operated,Fire with no evidence from street,2015-03-24T13:06:49,2015-03-24T13:12:26,Not applicable
237,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",No business interruption,1,1,10000,1,2014-08-09T17:11:52,Confined to part of room/area of origin,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2014-08-09T17:08:52,Undetermined,231,38.0,2014-08-09T18:04:23,43.77954,-79.23298,"Upholstered Sofa, Chair, etc.",Fire self extinguished,Unattended,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,Fire extinguished prior to arrival,2014-08-09T17:04:08,2014-08-09T17:08:52,Present
238,"Washroom or Bathroom (toilet,restroom/locker room)",No business interruption,0,1,500,0,2015-04-05T05:37:07,Confined to object of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2015-04-05T05:38:07,Other Open Flame Tools/Smokers' Articles,132,16.0,2015-04-05T06:04:32,43.72226,-79.41561,Linen Other than Bedding,Extinguished by fire department,Used or Placed too close to combustibles,Multi-Unit Dwelling - 2 to 6 Units,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,Fire with no evidence from street,2015-04-05T05:26:32,2015-04-05T05:31:06,Present
239,Cooking Area or Kitchen,Not applicable (not a business),1,1,2000,5,2016-06-26T05:19:26,Confined to part of room/area of origin,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),2016-06-26T05:19:27,"Stove, Range-top burner",426,14.0,2016-06-26T10:46:42,43.64058,-79.43667,Plastic,Extinguished by fire department,Unattended,Multi-Unit Dwelling - 2 to 6 Units,Improper installation of unit,Not applicable - no smoke alarm or presence undetermined,Fire with no evidence from street,2016-06-26T05:09:39,2016-06-26T05:12:44,No System
240,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Not applicable (not a business),1,1,75000,5,2013-07-22T07:26:00,Spread to entire room of origin,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,2013-07-22T07:35:36,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",323,30.0,2013-07-22T10:02:31,43.67119,-79.32692,"Mattress, Pillow",Extinguished by fire department,Improper handling of ignition source or ignited material,Rooming/Boarding/Lodging House,Reason for inoperation undetermined,Hardwired (standalone),"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2013-07-22T07:19:32,2013-07-22T07:23:25,Present
241,Porch or Balcony,Not applicable (not a business),0,1,5000,1,2012-04-30T00:05:00,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2012-04-30T00:06:08,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",115,33.0,2012-04-30T01:04:47,43.7694,-79.34361,"Rug, Carpet",Extinguished by fire department,Improper handling of ignition source or ignited material,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2012-04-29T23:54:48,2012-04-29T23:59:09,Present
242,Roof,Undetermined,0,1,25000,1,2017-01-26T06:05:00,Confined to object of origin,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operation undetermined,2017-01-26T07:00:00,"Blow Torch, Bunsen Burner",412,1.0,2017-01-26T11:15:01,43.75304,-79.61953,"Asphalt, Tar Product",Extinguished by fire department,Design/Construction/Installation/Maintenance Deficiency,Church Hall,Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2017-01-26T05:51:33,2017-01-26T05:57:33,Present
243,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Not applicable (not a business),1,1,50000,4,2015-03-10T19:16:00,Spread to entire room of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2015-03-10T19:17:00,Undetermined,341,15.0,2015-03-11T00:09:53,43.69239,-79.43554,Undetermined (formerly 98),Extinguished by fire department,Undetermined,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,"Fire with smoke showing only - including vehicle, outdoor fires",2015-03-10T19:10:47,2015-03-10T19:14:23,Not applicable
244,Cooking Area or Kitchen,Not applicable (not a business),0,1,25000,6,2012-05-16T13:01:12,Spread to entire room of origin,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2012-05-16T13:08:18,"Stove, Range-top burner",435,6.0,2012-05-16T14:53:12,43.5982,-79.52514,Cabinetry,Extinguished by fire department,Unattended,Multi-Unit Dwelling - 2 to 6 Units,Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2012-05-16T12:51:59,2012-05-16T12:54:58,Present
245,Cooking Area or Kitchen,No business interruption,1,1,55000,5,2015-09-29T08:57:09,Spread to entire room of origin,Undetermined,Fire alarm system did not operate,2015-09-29T09:05:01,"Stove, Range-top burner",323,30.0,2015-09-29T17:29:24,43.68148,-79.33238,Cabinetry,Extinguished by fire department,Unattended,Multi-Unit Dwelling - Over 12 Units,Electrical line or battery not connected,Hardwired (standalone),Fire with no evidence from street,2015-09-29T08:47:52,2015-09-29T08:51:01,Present
246,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Undetermined,1,1,8000,1,2013-08-16T03:00:01,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2013-08-16T03:14:58,Undetermined,125,26.0,2013-08-16T08:23:13,43.71655,-79.33732,Bedding,Extinguished by fire department,"Unintentional, cause undetermined",Multi-Unit Dwelling - Over 12 Units,Dead battery,Battery operated,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2013-08-16T02:41:54,2013-08-16T02:48:17,Present
247,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Not applicable (not a business),0,1,5000,5,2017-01-29T04:06:35,Confined to object of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2017-01-29T04:26:28,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",432,6.0,2017-01-29T05:08:36,43.61298,-79.53879,Exterior Cladding,Extinguished by fire department,Improperly Discarded,Detached Dwelling,Electrical line or battery not connected,Battery operated,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2017-01-29T03:52:27,2017-01-29T04:01:35,Not applicable
248,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Not applicable (not a business),1,1,50000,1,2012-06-02T02:46:22,"Spread beyond room of origin, same floor",Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2012-06-02T02:55:47,Undetermined,421,11.0,2012-06-02T11:04:57,43.68889,-79.50401,Undetermined (formerly 98),Extinguished by fire department,Undetermined,Multi-Unit Dwelling - Over 12 Units,Tampered with (vandalism),Hardwired (standalone),"Fire with smoke showing only - including vehicle, outdoor fires",2012-06-02T02:32:18,2012-06-02T02:39:04,Present
249,"Living Area (e.g. living, TV, recreation, etc)",Not applicable (not a business),6,1,40000,6,2015-03-31T10:10:21,Spread to entire room of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2015-03-31T10:15:21,Undetermined,434,6.0,2015-03-31T14:36:36,43.58893,-79.53158,"Upholstered Sofa, Chair, etc.",Extinguished by fire department,Undetermined,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2015-03-31T09:59:50,2015-03-31T10:05:21,Present
250,"Hallway, Corridor",Undetermined,1,1,75000,6,2015-10-18T20:35:00,Confined to part of room/area of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2015-10-18T20:36:48,Undetermined,224,32.0,2015-10-19T00:11:46,43.68664,-79.30857,Undetermined (formerly 98),Extinguished by fire department,Undetermined,Multi-Unit Dwelling - 2 to 6 Units,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,Fire with no evidence from street,2015-10-18T20:26:07,2015-10-18T20:30:21,Not applicable
251,"Living Area (e.g. living, TV, recreation, etc)",No business interruption,1,1,25000,1,2013-11-17T13:54:57,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2013-11-17T14:48:59,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",114,23.0,2013-11-17T18:33:38,43.76852,-79.41632,"Upholstered Sofa, Chair, etc.",Extinguished by fire department,Improperly Discarded,Retirement Home,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,Fire with no evidence from street,2013-11-17T13:40:44,2013-11-17T13:43:30,Present
252,"Living Area (e.g. living, TV, recreation, etc)",Not applicable (not a business),1,1,150000,0,2013-12-06T07:04:42,"Spread to other floors, confined to building","Not applicable: No fire alarm system, no persons present",Not applicable (no system),2013-12-06T07:23:54,Undetermined,224,31.0,2013-12-07T11:02:56,43.70357,-79.32847,Undetermined (formerly 98),Extinguished by fire department,Undetermined,Detached Dwelling,Dead battery,Battery operated,"Fire with smoke showing only - including vehicle, outdoor fires",2013-12-06T06:53:42,2013-12-06T07:00:48,Not applicable
253,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Not applicable (not a business),1,1,60000,5,2016-03-29T06:43:40,"Spread beyond room of origin, same floor",Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,2016-03-29T06:48:48,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",344,20.0,2016-03-29T09:52:18,43.67559,-79.4036,"Mattress, Pillow",Extinguished by fire department,Other misuse of ignition source/material ignited,Detached Dwelling,Reason for inoperation undetermined,Hardwired (standalone),"Flames showing from large area (more than one storey, large area outdoors)",2016-03-29T06:36:40,2016-03-29T06:40:40,Present
254,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",No business interruption,1,1,50,0,2015-01-15T23:58:00,Confined to object of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2015-01-15T23:59:45,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",426,14.0,2015-01-16T01:03:58,43.65152,-79.45107,"Other Soft Goods, Wearing Apparel",Action taken unclassified,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),Fire extinguished prior to arrival,2015-01-15T23:48:45,2015-01-15T23:54:07,Present
255,Cooking Area or Kitchen,May resume operations within a week,0,1,35000,2,2012-08-17T02:23:39,Confined to part of room/area of origin,Undetermined,Fire alarm system operation undetermined,2012-08-17T02:31:09,"Extension Cord, Temporary Wiring",424,13.0,2012-08-17T03:23:12,43.65114,-79.4763,Other Furniture,Extinguished by fire department,Electrical Failure,"Apartment, Flat, Tenement with Business",Reason for inoperation undetermined,Battery operated,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2012-08-17T02:14:01,2012-08-17T02:18:08,No System
256,Undetermined  (formerly 98),Not applicable (not a business),1,1,400000,0,2016-04-06T17:53:23,"Spread beyond room of origin, same floor","Not applicable: No fire alarm system, no persons present",Not applicable (no system),2016-04-06T18:28:36,Undetermined,221,37.0,2016-04-07T10:32:54,43.73864,-79.26439,Undetermined (formerly 98),Extinguished by fire department,Undetermined,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,"Fully involved (total structure, vehicle, spreading outdoor fire)",2016-04-06T17:46:27,2016-04-06T17:51:04,Present
257,Cooking Area or Kitchen,Not applicable (not a business),1,1,250000,8,2013-11-20T01:52:00,"Spread to other floors, confined to building",Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),2013-11-20T02:06:00,Undetermined,426,18.0,2013-11-20T12:54:36,43.65309,-79.43494,Undetermined (formerly 98),Extinguished by fire department,Undetermined,Detached Dwelling,Reason for inoperation undetermined,Type undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2013-11-20T01:41:17,2013-11-20T01:45:20,No System
258,Other Structural Area,May not resume operations,1,1,750000,6,2015-05-22T04:19:00,"Spread to other floors, confined to building",Undetermined,Fire alarm system operation undetermined,2015-05-22T05:48:16,Undetermined,315,20.0,2015-05-22T08:40:29,43.65686,-79.40583,Wood,Extinguished by fire department,Undetermined,"Apartment, Flat, Tenement with Business",Reason for inoperation undetermined,Type undetermined,"Flames showing from large area (more than one storey, large area outdoors)",2015-05-22T04:09:08,2015-05-22T04:13:07,Undetermined
